ID_NLS;RIC;INDIR_ORIG;DENOM_IMPRES;INSEGNA;INIZIO_ATT;geo_y;geo_x;location
6404;Storica Attività;CORSO DI PORTA VIGENTINA,30;DI RENZO ALBERTO;Panificio Cimnaghi di Alberto Di Renzo;1952;9.196032142934872;45.45390731868347;(45.45390731868347, 9.196032142934872)
7215;Storica Attività;C.SO  G. MATTEOTTI,8;Finart di Elena Ferrofino;Finart;1957;9.195108809378803;45.46695406730987;(45.46695406730987, 9.195108809378803)
6441;Storica Attività;VIA CORDUSIO,2;E. URGNANI DI URGNANI RUSTICI MARIA LUISA E C. S.A.S.;Uffici Cambio E. Urgnani S.a.s.;1933;9.18573512059335;45.464903074324575;(45.464903074324575, 9.18573512059335)
6758;Storica Attività;VIA P. SARPI,62;LORENZI S.A.S. DI LAURA RUSSO;B.Lorenzi di Ilde e Lucia;1908;9.170539845131888;45.48096052661428;(45.48096052661428, 9.170539845131888)
7592;Storica Attività;VIA GIOVANNI BATTISTA PERGOLESI,3;LA BOTTEGA DEL GELATO DI MARCO CARDELLI;La Bottega del Gelato da Cardelli;1964;9.213366695195212;45.48350969837558;(45.48350969837558, 9.213366695195212)
6318;Negozio storico;GALLERIA VITTORIO EMANUELE,5;Cade' S.r.l.;Cade';1926;9.189879075640235;45.4649450115019;(45.4649450115019, 9.189879075640235)
6760;Storica Attività;VIALE LANCETTI,34;De Giovanni Argenteria srl;De Giovanni Argenteria;1956;9.175021777762348;45.49522889533751;(45.49522889533751, 9.175021777762348)
7581;Storica Attività;VIALE SABOTINO,2;BOATI CLAUDIO SAS DI BOATI CHIARA E GIULIA;Cartoleria Boati Claudio;1942;9.196852510937658;45.450929621180755;(45.450929621180755, 9.196852510937658)
6423;Storica Attività;P.ZZA MORSELLI,3;ditta individuale;Rivola Rasoi Elettrici;1926;9.174792547551766;45.47871340149881;(45.47871340149881, 9.174792547551766)
6367;Storica Attività;VIA LAZZARO SPALLANZANI,18;Grancini Roberto Vini S.a.s.;Grancini vini e liquori;1938;9.207585838609454;45.47601609382586;(45.47601609382586, 9.207585838609454)
7193;Storica Attività;VIA DEI TULIPANI,18;Pasticceria Castelnuovo di Francesco Castelnuovo e C. s.n.c.;Fabbrica Pasticceria Castelnuovo;1956;9.137340245351828;45.45011467603983;(45.45011467603983, 9.137340245351828)
7735;Negozio storico;CORSO VITTORIO EMANUELE II,0015;NANO BLEU SRL;Nano Bleu;1949;9.196229496160155;45.4656779031733;(45.4656779031733, 9.196229496160155)
7001;Locale storico;VIA MANZONI,12/a;S.E.M. srl;Ristorante Don Lisander;1947;9.19163122057721;45.4688879546242;(45.4688879546242, 9.19163122057721)
6251;Negozio storico;VIA MONTENAPOLEONE,15;Melegari e Costa Montenapoleone S.a.s.;Melegari e Costa Montenapoleone;1945;9.194783308611775;45.46852071243491;(45.46852071243491, 9.194783308611775)
7233;Storica Attività;CORSO GARIBALDI,89;Fumagalli Adolfo;Moda Torinese - Fumagalli;1933;9.183509699889258;45.4750122000132;(45.4750122000132, 9.183509699889258)
6772;Storica Attività;VIA GALLARATE,92;La Pobbia snc;Ristorante La Pobbia;1850;9.134648385962482;45.49608744017072;(45.49608744017072, 9.134648385962482)
6225;Storica Attività;VIA LIPARI,2;ditta individuale;Walter Bulloni - Enoteca;1933;9.162557032014224;45.46158056900326;(45.46158056900326, 9.162557032014224)
6381;Storica Attività;VIA CARLO FORLANINI,19;ditta individuale;Lucchino - Boutique;1948;9.232226910942439;45.47187343513462;(45.47187343513462, 9.232226910942439)
6235;Storica Attività;CORSO PORTA TICINESE,98;ditta individuale;Farmacia S. Eustorgio;1811;9.180326034340546;45.45388836717972;(45.45388836717972, 9.180326034340546)
6436;Storica Attività;VIA MERCATO,5;ditta individuale;Torriani;1943;9.18383532327756;45.47168269990556;(45.47168269990556, 9.18383532327756)
6975;Storica Attività;VIA DURINI,27;ditta individuale;Guidotti Sport;1959;9.198111692445003;45.46552918602906;(45.46552918602906, 9.198111692445003)
7488;Storica Attività;PIAZZA DEL CARMINE,0001;DEMALDE' DI ROSSETTI LOREDANA;Demalde';1943;9.185257603011465;45.470123998620856;(45.470123998620856, 9.185257603011465)
6764;Storica Attività;VIA P. DA CANNOBIO,9;Frutteto Viel sas;Frutteto Viel;1955;9.190923434977346;45.46172030301945;(45.46172030301945, 9.190923434977346)
6965;Storica Attività;VIA SARPI,63;Ottica Scaccabarozzi snc;Ottica Scaccabarozzi;1927;9.170877396722233;45.48094237087521;(45.48094237087521, 9.170877396722233)
7369;Storica Attività;VIA FALCONE,0007;DITTA LISCHETTI DI RENATO LISCHETTI & C. S.A.S.;Laboratorio Gioielleria Lischetti;1958;9.187246459728328;45.462331270063885;(45.462331270063885, 9.187246459728328)
7537;Storica Attività;CORSO LODI,0012;CORSI CARLO;CORSI CARLO;1949;9.205562717381632;45.45008597753156;(45.45008597753156, 9.205562717381632)
6967;Storica Attività;VIA SARPI,62;Rossi 2003 srl;Orologeria Rossi;1936;9.170684907066606;45.481028511787244;(45.481028511787244, 9.170684907066606)
6350;Storica Attività;VIA ALBERTO DA GIUSSANO,1;Fiorista C. Palma S.a.s.;Fiorista Carlo Palma;1948;9.164847805497377;45.467239999278235;(45.467239999278235, 9.164847805497377)
